Serial No,Name,Description,Link,Tags
16,Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,https://summerofcode.withgoogle.com/archive/2021/organizations/5123901926932480,"['c++', ' c++11', ' c++14', ' c++17', ' c++20']"
17,BRL-CAD,"We do computer graphics, 3D printing, & develop computer-aided tech (CAx)",https://summerofcode.withgoogle.com/archive/2021/organizations/5647022668906496,"['python', ' c/c++', ' opengl', ' opencl', ' scripting']"
18,caMicroscope,Toolkit for cancer imaging research,https://summerofcode.withgoogle.com/archive/2021/organizations/5372385280131072,"['python', ' javascript', ' mongodb', ' tensorflow', ' medical imaging']"
19,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC",https://summerofcode.withgoogle.com/archive/2021/organizations/6199282348064768,"['python', ' javascript', ' java', ' nodejs', ' golang']"
20,CASTOR,Trustworthy software intensive systems for critical functions.,https://summerofcode.withgoogle.com/archive/2021/organizations/6291016608382976,"['java', ' scala', ' bytecode']"
21,CCExtractor Development,Now in Rust,https://summerofcode.withgoogle.com/archive/2021/organizations/5102272740065280,"['c', ' python', ' rust', ' flutter']"
22,"Center for Research in Open Source Software, UC Santa Cruz",Bridging the Gap Between Student Work and Successful Open Source Projects,https://summerofcode.withgoogle.com/archive/2021/organizations/6311773715562496,"['c/c++', ' robotics', ' c++17', ' ceph', ' arrow']"
23,Ceph,The Future of Storage,https://summerofcode.withgoogle.com/archive/2021/organizations/6259684285087744,"['python', ' javascript', ' c++', ' angular', ' typescript']"
24,CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,https://summerofcode.withgoogle.com/archive/2021/organizations/6240588592054272,"['python', ' c/c++', ' data analysis', ' concurrency', ' container orchestration']"
25,CGAL Project,C++ library of computational geometry and geometry processing,https://summerofcode.withgoogle.com/archive/2021/organizations/6538937723518976,"['c/c++', ' qt']"
26,CHAOSS Project,Creating analytics and metrics to help define open source community health.,https://summerofcode.withgoogle.com/archive/2021/organizations/5959947107434496,"['python', ' elk', ' vue', ' nltk', ' fossology']"
27,Chapel,A Productive Parallel Programming Language,https://summerofcode.withgoogle.com/archive/2021/organizations/6086891878744064,"['c', ' python', ' c++', ' chapel', ' high performance computing']"
28,Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,https://summerofcode.withgoogle.com/archive/2021/organizations/4766383010742272,"['java', ' antlr']"
29,Chromium,"Fast, seamless, safe, and reliable computing experiences accessible for all.",https://summerofcode.withgoogle.com/archive/2021/organizations/4857406487527424,"['python', ' javascript', ' java', ' c++', ' git']"
30,Cilium,"eBPF-based Networking, Security, and Observability",https://summerofcode.withgoogle.com/archive/2021/organizations/6055505163714560,"['c', ' linux', ' go', ' kubernetes', ' ebpf']"
31,CircuitVerse.org,Build and learn logic circuits in the cloud!,https://summerofcode.withgoogle.com/archive/2021/organizations/6293580166987776,"['javascript', ' machine learning', ' rails', ' canvas', ' internationalization']"
32,CiviCRM LLC,Growing and sustaining relationships,https://summerofcode.withgoogle.com/archive/2021/organizations/5667013157978112,"['mysql', ' php', ' angular']"
33,CloudCV,Building platforms for reproducible AI research,https://summerofcode.withgoogle.com/archive/2021/organizations/5332159690178560,"['python', ' django', ' docker', ' angular', ' aws']"
34,CNCF,Building sustainable ecosystems for cloud native software,https://summerofcode.withgoogle.com/archive/2021/organizations/5144170817126400,"['go', ' rust', ' kubernetes']"
35,coala,Linting and Fixing Code for All Languages,https://summerofcode.withgoogle.com/archive/2021/organizations/4904398832009216,"['django', ' haskell', ' python 3', ' docker', ' antlr']"
36,Continuous Delivery Foundation,Open-source community seeking to deliver software with security & speed,https://summerofcode.withgoogle.com/archive/2021/organizations/5349298455183360,"['jenkins', ' tekton', ' spinnaker', ' ortelius', ' screwdriver.cd']"
37,CRIU,Checkpoint/Restore in User-space,https://summerofcode.withgoogle.com/archive/2021/organizations/5396163661922304,"['c', ' python', ' linux kernel']"
38,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,https://summerofcode.withgoogle.com/archive/2021/organizations/5679162177617920,"['python', ' mysql', ' javascript', ' java', ' php']"
39,Dart,Dart is a client-optimized language for fast apps on any platform.,https://summerofcode.withgoogle.com/archive/2021/organizations/6522063568764928,"['flutter', ' dart', ' programming-language']"
40,DBpedia,Global and Unified Access to Knowledge Graphs,https://summerofcode.withgoogle.com/archive/2021/organizations/4709350374899712,"['python', ' javascript', ' scala', ' rdf', ' sparql']"
41,Debian,The Universal Operating System,https://summerofcode.withgoogle.com/archive/2021/organizations/5913368723980288,"['python', ' javascript', ' c/c++', ' git', ' irc']"
42,DeepPavlov,Open-source Conversational AI Stack,https://summerofcode.withgoogle.com/archive/2021/organizations/6618455117135872,"['python', ' tensorflow', ' docker', ' python deep learning frameworks', ' pytorch']"
43,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Data science and integrative biomedical research to advance healthcare,https://summerofcode.withgoogle.com/archive/2021/organizations/6515383720214528,"['python', ' java', ' tensorflow', ' medical imaging', ' deeplearning']"
44,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace",https://summerofcode.withgoogle.com/archive/2021/organizations/5400186335002624,"['python', ' linux', ' javascript', ' android', ' many more']"
45,Django Software Foundation,The web framework for perfectionists with deadlines.,https://summerofcode.withgoogle.com/archive/2021/organizations/6030298738851840,"['python', ' django']"
46,Elm Tooling,Improving your Elm experience!,https://summerofcode.withgoogle.com/archive/2021/organizations/5833213695492096,"['functional programming', ' typescript', ' elm']"
47,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video",https://summerofcode.withgoogle.com/archive/2021/organizations/6245462977282048,"['c', ' assembler']"
48,Fortran-lang,Fortran Programming Language,https://summerofcode.withgoogle.com/archive/2021/organizations/6542461173760000,"['python', ' c/c++', ' llvm', ' compiler', ' fortran']"
49,FOSSology,Open Source Compliance with Open Source Tools,https://summerofcode.withgoogle.com/archive/2021/organizations/5641437164601344,"['python', ' postgresql', ' javascript', ' c/c++', ' php']"
50,FrameNet Brasil (UFJF),Natural Language Understanding with structured computational semantics,https://summerofcode.withgoogle.com/archive/2021/organizations/6046169112772608,"['python', ' mysql', ' javascript', ' php']"
51,Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,https://summerofcode.withgoogle.com/archive/2021/organizations/6542389937700864,"['verilog', ' risc-v', ' compiler', ' web development', ' jenkins']"
52,FreeBSD Project,FreeBSD: The Foundation of the Internet,https://summerofcode.withgoogle.com/archive/2021/organizations/5255426173566976,"['llvm', ' assembly', ' shell script', ' make', ' c/c+']"
53,FreeType,A software library to render fonts.,https://summerofcode.withgoogle.com/archive/2021/organizations/5483147923292160,"['c']"
54,freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,https://summerofcode.withgoogle.com/archive/2021/organizations/5663378709676032,"['python', ' shell', ' c/c++', ' json', ' rust']"
55,FRRouting,"Routing suite for *nix platforms including BGP, IS-IS, LDP, OSPF, PIM, and RIP",https://summerofcode.withgoogle.com/archive/2021/organizations/5868804143316992,"['c', ' linux', ' networking', ' linux kernel', ' routing']"
56,Genome Assembly and Annotation,We focus on annotating features of genomic sequences and delpoying to users,https://summerofcode.withgoogle.com/archive/2021/organizations/5794597745197056,"['python', ' mysql', ' javascript', ' rust', ' pytorch']"
57,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://summerofcode.withgoogle.com/archive/2021/organizations/4842426950221824,"['python', ' shell', ' linux', ' c/c++', ' bash']"
58,GeomScale,Open-source development of scalable algorithms for geometric statistics,https://summerofcode.withgoogle.com/archive/2021/organizations/5291444977270784,"['python', ' c++', ' r', ' jupyter', ' github-actions']"
59,GFOSS - Open Technology Alliance,Promote Openness through use and development of Open Standards and Open Source,https://summerofcode.withgoogle.com/archive/2021/organizations/5185060013080576,"['python', ' mysql', ' javascript', ' perl', ' python deep learning frameworks']"
60,Git,"fast, scalable, distributed revision control system",https://summerofcode.withgoogle.com/archive/2021/organizations/6398200235163648,"['shell script', ' git', ' c language']"
61,GitLab,A complete DevOps platform delivered as a single application.,https://summerofcode.withgoogle.com/archive/2021/organizations/5396515480141824,"['ruby', ' golang', ' git', ' ci', ' devops']"
62,Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,https://summerofcode.withgoogle.com/archive/2021/organizations/4716668999172096,"['python', ' java', ' sql', ' spring', ' hl7 fhir']"
63,GNOME Foundation,The elegant and ethical desktop experience.,https://summerofcode.withgoogle.com/archive/2021/organizations/6476318677401600,"['c', ' python', ' javascript', ' rust', ' gtk']"
64,GNSS-SDR,An open source Global Navigation Satellite Systems Software-Defined Receiver,https://summerofcode.withgoogle.com/archive/2021/organizations/6204387118022656,"['c++11', ' c++14', ' c++17', ' c++20', ' gnss']"
65,GNU Compiler Collection (GCC),GCC,https://summerofcode.withgoogle.com/archive/2021/organizations/5653860256841728,"['c/c++', ' gnu make', ' gnu autotools']"
66,GNU Mailman Project,GNU Mailman is a mailing list manager popular in open source projects.,https://summerofcode.withgoogle.com/archive/2021/organizations/5211080233582592,"['python', ' django', ' restful api', ' sqlalchemy']"
67,GNU Octave,Free Your Numbers,https://summerofcode.withgoogle.com/archive/2021/organizations/5764694136061952,"['c++', ' hg']"
68,GNU Radio,A free and open source toolkit for software radio.,https://summerofcode.withgoogle.com/archive/2021/organizations/5786120553496576,"['python', ' c++', ' qt']"
69,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,https://summerofcode.withgoogle.com/archive/2021/organizations/5744305389436928,"['opengl', ' vulkan', ' c/c+', ' gdscript']"
70,Google FHIR SDK,"This work is a partnership between Google, WHO, Ona and other health partners",https://summerofcode.withgoogle.com/archive/2021/organizations/5675929577193472,"['android', ' kotlin', ' sqlite', ' fhir', ' materialui']"
71,gprMax,Software for electromagnetic wave propagation simulation,https://summerofcode.withgoogle.com/archive/2021/organizations/4979973948964864,"['python', ' cython', ' cuda', ' openmp', ' mpi']"
72,GRR Rapid Response,GRR Rapid Response is an incident response framework for remote live forensics.,https://summerofcode.withgoogle.com/archive/2021/organizations/5763186065670144,"['python 3', ' angular', ' typescript', ' materialui', ' backend']"
73,gVisor,An application kernel for containers that provides efficient defense-in-depth,https://summerofcode.withgoogle.com/archive/2021/organizations/5119642997096448,"['linux', ' c/c++', ' golang', ' posix']"
74,Haiku,A desktop operating system written in C++,https://summerofcode.withgoogle.com/archive/2021/organizations/5748009966501888,"['c++', ' posix', ' bsd unix', ' virtualization']"
75,Halide,"A language for fast, portable computation on images and tensors",https://summerofcode.withgoogle.com/archive/2021/organizations/5630773431894016,"['llvm', ' c++']"
76,Haskell.org,"Standardized, statically typed, lazy functional programming language",https://summerofcode.withgoogle.com/archive/2021/organizations/6216810210263040,"['haskell', ' ghc', ' compiler']"
77,Hydra Ecosystem,Automate REST APIs. Build next generation API clients.,https://summerofcode.withgoogle.com/archive/2021/organizations/5753537857847296,"['python', ' postgresql', ' javascript', ' redis', ' docker']"
78,INCF,enabling open and FAIR neuroscience,https://summerofcode.withgoogle.com/archive/2021/organizations/6330511550578688,"['python', ' javascript', ' c/c++', ' java', ' tensorflow']"
79,Inkscape,Vector graphic editor,https://summerofcode.withgoogle.com/archive/2021/organizations/5656327346454528,"['c/c++', ' python 3']"
80,Integrated Ocean Observing System (IOOS),"IOOS is our eyes on the ocean, coasts, and Great Lakes.",https://summerofcode.withgoogle.com/archive/2021/organizations/5159672092295168,"['python', ' big data science', ' ocean technology']"
81,Intel Video and Audio for Linux,We work on Linux opensource video and AI software for Intel,https://summerofcode.withgoogle.com/archive/2021/organizations/6244611265134592,"['gstreamer', ' ffmpeg', ' libxcam', ' vaapi']"
82,International Catrobat Association,Computational thinking for all with free visual coding apps,https://summerofcode.withgoogle.com/archive/2021/organizations/5201744182640640,"['javascript', ' android', ' swift', ' kotlin', ' php']"
83,Internet Archive,Universal Access to All Knowledge,https://summerofcode.withgoogle.com/archive/2021/organizations/6193723385315328,"['python', ' javascript', ' golang', ' elasticsearch', ' hadoop']"
84,JabRef e.V.,Non profit organization developing the Open Source bibliography manager JabRef,https://summerofcode.withgoogle.com/archive/2021/organizations/5760795715043328,"['java', ' javafx', ' latex', ' typescript', ' bibtex']"
85,Java PathFinder,JPF is a highly extensible Java virtual machine built for software verification.,https://summerofcode.withgoogle.com/archive/2021/organizations/5712237452328960,"['android', ' java', ' distributed systems', ' jvm']"
86,JBoss Community,Community of projects around JBoss Middleware,https://summerofcode.withgoogle.com/archive/2021/organizations/5722851356704768,"['java', ' node.js', ' rust', ' golang', ' kubernetes']"
87,JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision,https://summerofcode.withgoogle.com/archive/2021/organizations/5743038910955520,"['python', ' ros', ' gazebo', ' opencv', ' tensorflow']"
88,Joomla!,"Joomla, the flexible platform empowering website creators.",https://summerofcode.withgoogle.com/archive/2021/organizations/6265631002853376,"['mysql', ' javascript', ' html', ' php', ' css']"
89,Joplin,A note-taking and to-do application with synchronization capabilities.,https://summerofcode.withgoogle.com/archive/2021/organizations/6548330145906688,"['javascript', ' react', ' node.js', ' react native', ' electron']"
90,KDE Community,International community creating Free Software together,https://summerofcode.withgoogle.com/archive/2021/organizations/4834047200591872,"['opengl', ' c++', ' qt', ' qml', ' data structures']"
91,Kiwix,Internet content for people without internet access,https://summerofcode.withgoogle.com/archive/2021/organizations/6595970359361536,"['python', ' c/c++', ' nodejs', ' kotlin', ' typescript']"
92,Kodi,The ultimate entertainment center,https://summerofcode.withgoogle.com/archive/2021/organizations/5186500538400768,"['python', ' opengl', ' c++', ' ffmpeg', ' sqlite']"
93,LabLua,Programming Languages Research with emphasis on the Lua language,https://summerofcode.withgoogle.com/archive/2021/organizations/5651367128989696,"['lua', ' céu', ' kernel']"
94,Learning Equality,Equity in education to transform lives,https://summerofcode.withgoogle.com/archive/2021/organizations/5523941925322752,"['python', ' javascript', ' django', ' vue.js']"
95,libcamera,"An open source camera stack and framework for Linux, Android, and ChromeOS",https://summerofcode.withgoogle.com/archive/2021/organizations/5084072715485184,"['c/c++', ' linux kernel', ' qt5', ' gstreamer', ' v4l2']"
96,Libre Space Foundation,Open-source software and hardware technologies for space,https://summerofcode.withgoogle.com/archive/2021/organizations/5144401537400832,"['python', ' django', ' machine learning', ' sdr', ' embedded systems']"
97,LibreCube Initiative,Open Source Space and Earth Exploration,https://summerofcode.withgoogle.com/archive/2021/organizations/5642529495580672,"['python', ' micropython', ' zmq', ' mbed']"
98,LibreHealth,Healthcare for Humanity,https://summerofcode.withgoogle.com/archive/2021/organizations/6009541631672320,"['python', ' javascript', ' android', ' java', ' php']"
99,LibreOffice,LibreOffice is a free and open source office suite.,https://summerofcode.withgoogle.com/archive/2021/organizations/4920197969870848,"['python', ' java', ' c++']"
100,libvirt,virtualization abstraction library,https://summerofcode.withgoogle.com/archive/2021/organizations/4791907464511488,"['xen', ' kvm', ' hypervisor']"
101,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster,https://summerofcode.withgoogle.com/archive/2021/organizations/5964067927228416,"['python', ' android', ' java', ' arduino', ' machinelearning']"
102,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications in science,https://summerofcode.withgoogle.com/archive/2021/organizations/5101210708738048,"['python', ' c/c++', ' machine learning', ' data analysis', ' artificial intelligence']"
103,MapAction,MapAction works on maps and data analysis for the humanitarian sector,https://summerofcode.withgoogle.com/archive/2021/organizations/4875496487124992,"['python', ' data analysis', ' gis', ' apache airflow', ' visualization']"
104,MariaDB Foundation,One of the most popular databases on the web with many notable users,https://summerofcode.withgoogle.com/archive/2021/organizations/6249801833775104,"['c', ' python', ' mysql', ' mariadb', ' c++']"
105,Matrix.org,"An open network for secure, decentralized communication",https://summerofcode.withgoogle.com/archive/2021/organizations/4920269205929984,"['python', ' javascript', ' c++', ' rust', ' decentralisation']"
106,Mayor's Office of New Urban Mechanics (City of Boston),"Exploring, experimenting + evaluating new approaches to government + civic life.",https://summerofcode.withgoogle.com/archive/2021/organizations/5504645576785920,"['python', ' javascript']"
107,MBDyn,MBDyn - free general-purpose multibody dynamics solver,https://summerofcode.withgoogle.com/archive/2021/organizations/4862926560690176,"['python', ' c/c++']"
108,MDAnalysis,A Python package for the handling and analysis of molecular simulation data.,https://summerofcode.withgoogle.com/archive/2021/organizations/4692476220145664,"['python', ' cython', ' c/c++']"
109,Media Cloud,Media Cloud is an open-source platform for media analysis.,https://summerofcode.withgoogle.com/archive/2021/organizations/6194875543846912,"['python', ' postgresql', ' javascript', ' react', ' docker']"
110,MediaPipe,Live ML anywhere,https://summerofcode.withgoogle.com/archive/2021/organizations/5917807371354112,"['python', ' javascript', ' android', ' c++', ' ios']"
111,MetaBrainz Foundation Inc,Using open source & communities to curate large scale open data-sets.,https://summerofcode.withgoogle.com/archive/2021/organizations/4875887060713472,"['python', ' postgresql', ' react', ' rust', ' spark']"
112,MetaCall,MetaCall allows calling functions between multiple programming languages.,https://summerofcode.withgoogle.com/archive/2021/organizations/5272300328321024,"['python', ' javascript', ' c/c++', ' cmake', ' guix']"
113,Metasploit,The world’s most used penetration testing framework,https://summerofcode.withgoogle.com/archive/2021/organizations/4728495023849472,"['c', ' python', ' postgresql', ' ruby', ' assembly']"
114,MGGG Redistricting Lab,MGGG researches applications in math and computer science for US redistricting,https://summerofcode.withgoogle.com/archive/2021/organizations/5759703384064000,"['python', ' javascript', ' julia', ' gis', ' statistics']"
115,MIT App Inventor,Anyone can build apps with global impact.,https://summerofcode.withgoogle.com/archive/2021/organizations/5354857417932800,"['javascript', ' java', ' gwt']"
116,mlpack,"fast, flexible C++ machine learning library",https://summerofcode.withgoogle.com/archive/2021/organizations/5101022367711232,"['c++', ' openmp']"
117,MoveIt,Software that is moving robots into the future,https://summerofcode.withgoogle.com/archive/2021/organizations/5449155236855808,"['c/c++', ' python 3', ' robotics']"
118,MuseScore,The World's Most Popular Notation App,https://summerofcode.withgoogle.com/archive/2021/organizations/5844642704130048,"['c++', ' qt', ' qml']"
119,mypy,A static type checker for Python and a compiler for type-annotated Python,https://summerofcode.withgoogle.com/archive/2021/organizations/4693309712236544,"['python']"
120,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,https://summerofcode.withgoogle.com/archive/2021/organizations/4898028657311744,"['python', ' javascript', ' java', ' xml', ' r']"
121,Navidrome,Modern music server and streamer compatible with Subsonic/Airsonic,https://summerofcode.withgoogle.com/archive/2021/organizations/5963988000571392,"['react', ' golang', ' ffmpeg']"
122,NumFOCUS,NumFOCUS supports and promotes open source scientific software.,https://summerofcode.withgoogle.com/archive/2021/organizations/6176584620310528,"['python', ' javascript', ' c/c++', ' r', ' julia']"
123,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,https://summerofcode.withgoogle.com/archive/2021/organizations/6326136019091456,"['c', ' python', ' javascript', ' react', ' c++']"
124,Open Chemistry,Advancing Open Source and Open Science for Chemistry,https://summerofcode.withgoogle.com/archive/2021/organizations/5838773731983360,"['python', ' javascript', ' opengl', ' c++14', ' c++17']"
125,Open Genome Informatics,Association of open access genomics and bioinformatics projects.,https://summerofcode.withgoogle.com/archive/2021/organizations/5660767872876544,"['python', ' mysql', ' javascript', ' neo4j', ' react']"
126,Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,https://summerofcode.withgoogle.com/archive/2021/organizations/6381326080409600,"['python', ' java', ' go', ' c++', ' typescript']"
127,Open Robotics,"Open source software for use in robotics research, education and industry",https://summerofcode.withgoogle.com/archive/2021/organizations/5698036243628032,"['python', ' c/c++', ' ros', ' gazebo', ' ignition']"
128,openastronomy,Opening the eyes of research astronomy software to the whole world.,https://summerofcode.withgoogle.com/archive/2021/organizations/6276607395758080,"['python', ' javascript', ' julia', ' numba', ' spark']"
129,OpenCV,Open Source Computer Vision and Deep Learning Library,https://summerofcode.withgoogle.com/archive/2021/organizations/5722622045716480,"['javascript', ' opengl', ' c++', ' cuda', ' python 3']"
130,OpenMined,Lowering the barrier of entry to privacy preserving technology,https://summerofcode.withgoogle.com/archive/2021/organizations/5769029704220672,"['python', ' javascript', ' rust', ' pytorch', ' hyperledger aries']"
131,OpenMRS,Write code. Save lives.,https://summerofcode.withgoogle.com/archive/2021/organizations/5663972321132544,"['mysql', ' javascript', ' android', ' java', ' spring']"
132,OpenStreetMap,Creating and distributing free geographic data for the world.,https://summerofcode.withgoogle.com/archive/2021/organizations/5165116701540352,"['python', ' postgresql', ' javascript', ' java', ' ruby']"
133,openSUSE Project,"Our community creates, promotes, improves and documents open-source software.",https://summerofcode.withgoogle.com/archive/2021/organizations/5137006207696896,"['python', ' linux', ' rust', ' kubernetes', ' artificial intelligence']"
134,OpenWISP,A Hackable Network Management System for the 21st Century,https://summerofcode.withgoogle.com/archive/2021/organizations/5206079750799360,"['python', ' javascript', ' django', ' lua', ' openwrt']"
135,Oppia Foundation,"A free, online learning platform for making quality education accessible to all",https://summerofcode.withgoogle.com/archive/2021/organizations/5223170600075264,"['python', ' kotlin', ' css', ' angular', ' typescript']"
136,Orcasound,Open-source code to accelerate orca conservation & bioacoustic research,https://summerofcode.withgoogle.com/archive/2021/organizations/6255426160558080,"['python', ' javascript', ' react', ' raspberry pi', ' elixir']"
137,OSGeo - Open Source Geospatial Foundation,The Open Source Geospatial Foundation,https://summerofcode.withgoogle.com/archive/2021/organizations/5115040503431168,"['python', ' javascript', ' c/c++', ' java', ' sql']"
138,OWASP Foundation,OWASP® is a nonprofit foundation that improves the security of software,https://summerofcode.withgoogle.com/archive/2021/organizations/5704942551040000,"['python', ' javascript', ' c/c++', ' golang']"
139,PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting,https://summerofcode.withgoogle.com/archive/2021/organizations/5117265531371520,"['postgresql', ' r', ' docker', ' kubernetes', ' api']"
140,Pharo Consortium,The immersive programming experience,https://summerofcode.withgoogle.com/archive/2021/organizations/5738046581899264,"['smalltalk', ' roassal', ' pharo', ' spec']"
141,Pidgin Instant Messenger,A universal chat client.,https://summerofcode.withgoogle.com/archive/2021/organizations/5646348627476480,"['c', ' gtk', ' gstreamer']"
142,Pitivi,Allowing everyone on the planet to express themselves through filmmaking,https://summerofcode.withgoogle.com/archive/2021/organizations/5952433766793216,"['c', ' python', ' gtk', ' gstreamer']"
143,Plan 9 Foundation,Lightweight distributed computing,https://summerofcode.withgoogle.com/archive/2021/organizations/5118711358291968,"['c', ' golang', ' distributed systems', ' concurrency']"
144,Point Cloud Library,"Standalone, large scale, open project for 2D/3D image and point cloud processing",https://summerofcode.withgoogle.com/archive/2021/organizations/6260986197049344,"['python', ' cuda', ' cmake', ' c++14', ' computer vision']"
145,Polypheny,The distributed and self-adaptive polystore,https://summerofcode.withgoogle.com/archive/2021/organizations/5697965007568896,"['javascript', ' java', ' sql', ' angular']"
146,PostgreSQL,PostgreSQL is the world's most advanced open source database.,https://summerofcode.withgoogle.com/archive/2021/organizations/6316019928268800,"['c', ' python', ' perl', ' sql', ' julia']"
147,Postman,The Collaboration Platform for API Development,https://summerofcode.withgoogle.com/archive/2021/organizations/5124239249637376,"['javascript', ' node.js', ' graphql', ' openapi', ' rest api']"
148,Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,https://summerofcode.withgoogle.com/archive/2021/organizations/4923136667025408,"['python', ' android', ' java', ' opengl', ' javascr']"
149,Project WikiLoop,Contribute to open knowledge at scale - heritage preservation and translation,https://summerofcode.withgoogle.com/archive/2021/organizations/5935335233552384,"['python', ' java', ' mediawiki']"
150,Public Lab,Open hardware and software to help communities measure and analyze pollution,https://summerofcode.withgoogle.com/archive/2021/organizations/6245542903939072,"['javascript', ' ruby on rails', ' node']"
151,Purr Data,"A user-friendly visual programming environment for audio, video, and graphics.",https://summerofcode.withgoogle.com/archive/2021/organizations/5146061710032896,"['c', ' javascript', ' c++', ' html', ' css']"
152,Python Software Foundation,Python is a programming language used by software developers and scientists.,https://summerofcode.withgoogle.com/archive/2021/organizations/5068943793848320,"['python']"
153,QEMU,Open source machine emulator and virtualizer,https://summerofcode.withgoogle.com/archive/2021/organizations/4837236381581312,"['c', ' python', ' linux', ' rust']"
154,Qubes OS,A reasonably secure operating system,https://summerofcode.withgoogle.com/archive/2021/organizations/5682513023860736,"['c', ' python', ' shell', ' ruby']"
155,React Native Elements,Cross Platform React Native UI Toolkit,https://summerofcode.withgoogle.com/archive/2021/organizations/4838168020385792,"['javascript', ' react', ' react native']"
156,ReactOS,Open your windows to freedom!,https://summerofcode.withgoogle.com/archive/2021/organizations/5679527786708992,"['c', ' c++', ' win32', ' nt']"
157,Red Hen Lab,Research on Multimodal Communication,https://summerofcode.withgoogle.com/archive/2021/organizations/5946697670197248,"['python', ' big data science', ' computer vision', ' nlp', ' machinelearning']"
158,Rizin,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/archive/2021/organizations/5119563070439424,"['c', ' python', ' c++', ' qt']"
