Serial No,Name,Description,Link,Tags
1,52°North GmbH,52°North works on innovative ideas and technologies in geoinformatics,https://summerofcode.withgoogle.com/archive/2021/organizations/5129526253715456,"['python', ' javascript', ' java', ' web services', ' ogc standards']"
2,AboutCode,AboutCode is a suite of tools to uncover data ... about software and code:,https://summerofcode.withgoogle.com/archive/2021/organizations/5677990456852480,"['python', ' javascript', ' django', ' postgres']"
3,Accord Project,Linux Foundation’s open source project for smart legal contracts.,https://summerofcode.withgoogle.com/archive/2021/organizations/4826533859950592,"['javascript', ' react', ' compiler', ' ocaml', ' coq']"
4,AerospaceResearch.net,making space together,https://summerofcode.withgoogle.com/archive/2021/organizations/4866654592303104,"['python', ' machine learning', ' sdr', ' sqlite', ' raspberry pi']"
5,AFLplusplus,Fuzzing for the future,https://summerofcode.withgoogle.com/archive/2021/organizations/5090910303420416,"['c/c++', ' llvm', ' rust', ' fuzzing', ' instrumentation']"
6,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,https://summerofcode.withgoogle.com/archive/2021/organizations/5995132419047424,"['java', ' opengl', ' c++', ' spir-v', ' webgpu']"
7,AnkiDroid,makes remembering things easy,https://summerofcode.withgoogle.com/archive/2021/organizations/5687189203058688,"['javascript', ' android', ' java', ' gradle']"
8,AOSSIE,Australian Umbrella Org for Open-Source Projects,https://summerofcode.withgoogle.com/archive/2021/organizations/5135086290206720,"['javascript', ' android', ' machine learning', ' scala', ' ios']"
9,Apertium,A free/open-source machine translation platform,https://summerofcode.withgoogle.com/archive/2021/organizations/5702681049432064,"['python', ' javascript', ' c++', ' xml', ' bash']"
10,apertus° Association,Open Technology for Professional Film Production,https://summerofcode.withgoogle.com/archive/2021/organizations/5659873647263744,"['linux', ' c/c++', ' fpga', ' vhdl', ' embedded']"
11,ArduPilot,"The world's most versatile, trusted and open autopilot",https://summerofcode.withgoogle.com/archive/2021/organizations/4848051277004800,"['python', ' linux', ' c/c++', ' drones', ' robotics']"
12,Audacity,"Free, open source, cross-platform audio software",https://summerofcode.withgoogle.com/archive/2021/organizations/5631107231383552,"['c++']"
13,BeagleBoard.org Foundation,"Community supported open hardware for makers, innovators and educators",https://summerofcode.withgoogle.com/archive/2021/organizations/5067823478472704,"['linux', ' fpga', ' arm', ' risc-v', ' dsp']"
14,Bench-Routes,Bench-routes is an open-source project to analyze performance and monitor APIs.,https://summerofcode.withgoogle.com/archive/2021/organizations/5764622900002816,"['react', ' golang', ' docker']"
15,Blender Foundation,We build a free and open source 3D creation suite.,https://summerofcode.withgoogle.com/archive/2021/organizations/5672605809377280,"['c', ' python', ' opengl', ' c++', ' vulkan']"
