Serial No,Name,Description,Link,Tags
1,52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,https://52north.org/,"['javascript', 'android', 'web', 'java']"
2,AboutCode.org,Find the origin and license of code,https://aboutcode.org,"['python', 'javascript', 'nlp', 'automaton', 'search']"
3,AerospaceResearch.net,making space together,http://www.aerospaceresearch.net,"['python', 'c/c++', 'vhdl', 'boinc', 'java']"
4,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",https://github.com/aimacode,"['python', 'python 3', 'java', 'javascript', 'machine learning']"
5,Amahi,Making Home Networking and Storage Simple,https://www.amahi.org,"['golang', 'ruby on rails', 'android', 'ios', 'containers']"
6,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,https://github.com/google/graphicsfuzz,"['opengl', 'vulkan', 'spir-v', 'java', 'c/c++']"
7,AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,http://aossie.org/,"['scala', 'javascript', 'isabelle proof assistant', 'android', 'ios']"
8,Apertium,A free/open-source machine translation platform,http://wiki.apertium.org,"['c++', 'python', 'xml', 'bash']"
9,apertus° Association,open technology for professional film production,http://www.apertus.org,"['fpga', 'embedded', 'vhdl', 'c', 'linux']"
10,API Client Tools at Google,Industry-leading user experiences for networked APIs.,https://googleapis.github.io,"['openapi', 'grpc', 'protocol buffers', 'rpc', 'rest']"
11,appleseedhq,A modern open source rendering engine for animation and visual effects,https://appleseedhq.net/,"['c++11', 'python', 'opengl']"
12,Ardupilot.org,The worlds most advanced open source autopilot,http://ardupilot.org,"['drones', 'python', 'linux', 'robotics', 'c/c++']"
13,Bazel,"Build and test software of any size, quickly and reliably",https://bazel.build/,"['windows', 'c/c++', 'java', 'bazel']"
14,BeagleBoard.org,Open hardware computing from kindergarten to kickstarter,https://beagleboard.org,"['raspberry pi', 'linux kernel', 'javascript', 'python', 'hardware acceleration']"
15,Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development",https://cyber.harvard.edu,"['ruby on rails', 'meteor.js', 'elasticsearch', 'python', 'java']"
16,"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine",https://github.com/sharmalab/Emory-BMI-GSoC-2019,"['python', 'java', 'deep learning', 'medical imaging', 'tensorflow']"
17,Blender Foundation,"Free and open source 3D creation for everyone, forever.",http://www.blender.org,"['c', 'c++', 'python', 'opengl']"
18,Boost C++,Boost provides free peer-reviewed portable C++ source libraries,https://www.boost.org/,['c++ libraries c++11 c++14 c++17 c++20']
19,BRL-CAD,"Solid geometry, computer graphics, 3D printing, modeling, CAD, CAM, & other CAx!",https://opencax.github.io,"['c/c++', 'opengl', 'opencl', 'python', 'javascript']"
20,Buildroot,Making Embedded Linux easy,http://www.buildroot.org,"['gnu make', 'kconfig', 'python', 'shell']"
21,Canadian Center for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,http://computationalgenomics.ca/,"['python', 'r-project', 'javascript', 'react', 'nodejs']"
22,Catrobat,Computational Thinking for All with Free Visual Coding Apps,https://catrobat.org,"['java', 'android', 'swift', 'symfony']"
23,cBioPortal for Cancer Genomics,Developing open source solutions for discovery from complex cancer data,http://www.cbioportal.org/,"['java', 'javascript', 'reactjs', 'database', 'web apps']"
24,CBMI@UTHSC,We develop Biomedical and Clinical informatics applications,https://cbmi.lab.uthsc.edu/people-2/people/,"['reactjs', 'python', 'flask', 'javascript', 'tensorflow']"
25,CCExtractor Development,"Tools to make the world more accessible, starting with media",https://www.ccextractor.org/,"['ai', 'c', 'python', 'cloud', 'javascript']"
26,Center for Research in Open Source Software at UC Santa Cruz,Bridging Gap Between Student Work and Successful Open Souce Projects,http://cross.ucsc.edu,"['python', 'javascript', 'c/c++', 'verilog']"
27,CERN-HSF,Umbrella organization for Particle (High-Energy) Physics-related projects,http://hepsoftwarefoundation.org/activities/gsoc.html,"['c/c++', 'python', 'data analysis', 'parallelization', 'machine learning']"
28,CGAL project,C++ library of computational geometry and geometry processing,https://www.cgal.org,"['c++', 'git', 'swig', 'python']"
29,CHAOSS,Aimed at improving our understanding of open source health and sustainability,https://chaoss.community,"['python', 'javascript', 'jupyter', 'mysql', 'elasicsearch']"
30,Chapel,a Productive Parallel Programming Language,https://chapel-lang.org/,"['chapel', 'python', 'high performance computing', 'c', 'c++']"
31,Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",https://checkerframework.org/,['java']
32,CircuitVerse.org,Have fun exploring logic circuits right from your browser!,https://circuitverse.org/,"['rails', 'javascript', 'postgresql', 'bootstrap', 'html5 canvas']"
33,CiviCRM,Growing and sustaining relationships,https://civicrm.org,"['php', 'mysql', 'angularjs', 'javascript']"
34,"CLiPS, University of Antwerp",Computational Psycholinguistics,https://www.uantwerpen.be/en/research-groups/clips,"['python', 'javascript', 'mongodb']"
35,Cloud Native Computing Foundation (CNCF),Sustaining and Integrating Cloud Native Open Source Technologies,https://www.cncf.io,"['kubernetes', 'golang', 'prometheus', 'docker']"
36,CloudCV,Building platforms for reproducible AI research,https://cloudcv.org,"['python 3', 'django', 'aws', 'angularjs', 'docker']"
37,coala,Linting and Fixing Code for All Languages,https://coala.io,"['python 3', 'java', 'angularjs', 'haskell', 'docker']"
38,Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization",http://helikarlab.org,"['javascript', 'react', 'postgresql', 'webgl']"
39,coreboot,open source firmware projects,https://www.coreboot.org/,"['c', 'assembler']"
40,Creative Commons,"Nonprofit building tools to promote digital creativity, sharing, and innovation.",https://creativecommons.org,"['javascript', 'python', 'postgresql', 'wordpress', 'elasticsearch']"
41,CRIU (Checkpoint/Restore in User-space),CRIU (Checkpoint/Restore in User-space),https://criu.org,"['docker', 'linux', 'containers', 'kernel']"
42,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,https://cdli.ucla.edu,"['python', 'php', 'mysql', 'java', 'html/css']"
43,D Programming Language,"Fast code, fast.",https://dlang.org,"['dlang', 'linux', 'windows', 'osx', 'bsd']"
44,DBpedia,Global and Unified Access to Knowledge.,http://dbpedia.org,"['apache spark', 'python', 'javascript', 'skala', 'java']"
45,Debian,The Universal Operating System,https://www.debian.org/,"['git', 'python', 'javascript', 'c/c++', 'irc']"
46,Developers Italia,An open community of digital public services developers,https://developers.italia.it/,"['python', 'go', 'scala', 'node.js', 'html/css/js']"
47,Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,http://digitalimpactalliance.org/,"['android', 'java', 'php', 'python', 'javascript']"
